Country,coordinates,elevation,continent
Belarus,"53.5318804783, 28.033566395",170.0,Europe
Germany,"51.1063634863, 10.3814938434",263.0,Europe
Denmark,"62.0740272545, -6.87055477617",34.0,Europe
Portugal,"39.5871468639, -8.59083758901",372.0,Europe
Andorra,"42.541326525, 1.56075624107",1996.0,Europe
Albania,"41.1424820604, 20.053819197",708.0,Europe
Poland,"52.1247718189, 19.3943221398",173.0,Europe
Bosnia and Herzegovina,"44.1717340565, 17.7734080203",500.0,Europe
United Kingdom,"49.2210642111, -2.12743081446",162.0,Europe
Lithuania,"55.3270236412, 23.8882490157",110.0,Europe
San Marino,"43.9364661946, 12.4422225588",538.0,Europe
France,"42.1801069806, -2.75522118992",375.0,Europe
Spain,"40.2272337014, -3.65263701695",660.0,Europe
Hungary,"47.1632436866, 19.3967592674",143.0,Europe
Croatia,"45.067726168, 16.3985488378",331.0,Europe
Monaco,"43.7398461874, 7.39897432483",375.0,Europe
Finland,"60.1864472514, 20.0555828218",164.0,Europe
Czech Republic,"49.7324482055, 15.3141031033",430.0,Europe
Liechtenstein,"47.1382064295, 9.54090028864",1350.0,Europe
Italy,"42.7864339964, 12.0719070927",538.0,Europe
Montenegro,"42.7858180546, 19.2385002864",1086.0,Europe
Ukraine,"49.1600782909, 31.2553061432",175.0,Europe
Sweden,"62.7770998648, 16.7544664339",320.0,Europe
Greece,"39.0511811824, 22.9748189255",498.0,Europe
Slovenia,"46.1161109843, 14.8080896248",492.0,Europe
Luxembourg,"49.7668242758, 6.07176396727",325.0,Europe
Belgium,"50.6374616353, 4.63996050767",181.0,Europe
Estonia,"58.6710141504, 25.5357932075",61.0,Europe
Kosovo,"42.5728833853, 20.8737431935",800.0,Europe
Austria,"47.5856569205, 14.1306728873",910.0,Europe
Netherlands,"52.0697916544, 5.2168142092",30.0,Europe
Latvia,"56.8518194796, 24.9086224276",87.0,Europe
Norway,"68.7942729218, 15.4095991585",460.0,Europe
Romania,"45.8534640978, 24.9729418552",414.0,Europe
Switzerland,"46.7989568698, 8.21535365745",1350.0,Europe
Russia,"61.9668529189, 96.6275884228",600.0,Europe
Moldova,"47.195101489, 28.4613971304",139.0,Europe
Iceland,"64.9983158205, -18.5964459278",557.0,Europe
Serbia,"44.2213759212, 20.790402471",473.0,Europe
Bulgaria,"42.7685226144, 25.2175125117",470.0,Europe
Slovakia,"48.7049353017, 19.4803829712",458.0,Europe
Vatican City,"41.9033124692, 12.4534177294",538.0,Europe
Ireland,"53.1782213727, -8.14504467255",118.0,Europe
North Macedonia,"41.5950049267, 21.6838304101",741.0,Europe
